26506,,,,,,,,,,,,,,,,,,
,,0-25,26-50,51-75,76-100,101-125,126-150,151-175,176-200,201-225,226-250,251-275,276-300,301-325,326-350,351-360,,
348.109375,161.25,,,,,,,,,,,,,,,,,
157.109375,144.25,,,,,,,,,,,,,,,,,
158.5,144.25,,,,,,,,,,,,,,,,,
159.890625,144.25,,,,,,,,,,,,,,,,,
161.21875,145.25,,,,,,,,,,,,,,,,,
162.546875,146.25,,,,,,,,,,,,,,,,,
163.953125,146.25,,,,,,,,,,,,,,,,,
165.296875,147.25,,,,,,,,,,,,,,,,,
166.625,148.25,,,,,,,,,,,,,,,,,
167.953125,149.25,,,,,,,,,,,,,,,,,
169.3125,150.25,,,,,,,,,,,,,,,,,
170.640625,151.25,,,,,,,,,,,,,,,,,
171.984375,152.25,,,,,,,,,,,,,,,,,
173.3125,153.25,,,,,,,,,,,,,,,,,
174.625,155.25,,,,,,,,,,,,,,,,,
175.96875,156.25,,,,,,,,,,,,,,,,,
177.265625,158.25,,,,,,,,,,,,,,,,,
178.609375,159.25,,,,,,,,,,,,,,,,,
179.90625,161.25,,,,,,,,,,,,,,,,,
181.203125,163.25,,,,,,,,,,,,,,,,,
182.515625,165.25,,,,,,,,,,,,,,,,,
183.8125,167.25,,,,,,,,,,,,,,,,,
185.0625,170.25,,,,,,,,,,,,,,,,,
186.390625,172.25,,,,,,,,,,,,,,,,,
187.65625,175.25,,,,,,,,,,,,,,,,,
188.921875,178.25,,,,,,,,,,,,,,,,,
190.203125,181.25,,,,,,,,,,,,,,,,,
191.5,184.25,,,,,,,,,,,,,,,,,
193.265625,174.5,,,,,,,,,,,,,,,,,
194.46875,179.25,,,,,,,,,,,,,,,,,
195.09375,201.5,,,,,,,,,,,,,,,,,
194.875,271.5,,,,,,,,,,,,,,,,,
198.609375,180.5,,,,,,,,,,,,,,,,,
200.15625,176.25,,,,,,,,,,,,,,,,,
201.71875,172.25,,,,,,,,,,,,,,,,,
203.28125,168.25,,,,,,,,,,,,,,,,,
204.859375,164.25,,,,,,,,,,,,,,,,,
206.40625,161.25,,,,,,,,,,,,,,,,,
207.984375,157.25,,,,,,,,,,,,,,,,,
209.515625,154.25,,,,,,,,,,,,,,,,,
211.03125,152.25,,,,,,,,,,,,,,,,,
213.265625,148.25,,,,,,,,,,,,,,,,,
214.765625,146.25,,,,,,,,,,,,,,,,,
216.296875,144.25,,,,,,,,,,,,,,,,,
217.8125,142.25,,,,,,,,,,,,,,,,,
219.34375,140.25,,,,,,,,,,,,,,,,,
220.796875,139.25,,,,,,,,,,,,,,,,,
222.328125,137.25,,,,,,,,,,,,,,,,,
223.78125,136.25,,,,,,,,,,,,,,,,,
225.265625,135.25,,,,,,,,,,,,,,,,,
226.71875,134.25,,,,,,,,,,,,,,,,,
228.203125,133.25,,,,,,,,,,,,,,,,,
229.65625,132.25,,,,,,,,,,,,,,,,,
231.140625,131.25,,,,,,,,,,,,,,,,,
232.53125,131.25,,,,,,,,,,,,,,,,,
234,130.25,,,,,,,,,,,,,,,,,
235.46875,129.25,,,,,,,,,,,,,,,,,
236.875,129.25,,,,,,,,,,,,,,,,,
238.265625,129.25,,,,,,,,,,,,,,,,,
239.671875,129.25,,,,,,,,,,,,,,,,,
241.140625,128.25,,,,,,,,,,,,,,,,,
242.546875,128.25,,,,,,,,,,,,,,,,,
243.9375,128.25,,,,,,,,,,,,,,,,,
245.34375,128.25,,,,,,,,,,,,,,,,,
