#!,Workbook:,Custom,Custom
#!,To play this data back: Open the original Excel workbook file then click the *Import Data File* button in the *Data Streamer* ribbon and navigate to this file.
#!,For more information visit http://aka.ms/hackingstem/
43.1875000000,201.2500000000
47.4843750000,136.2500000000
48.9375000000,135.2500000000
50.3750000000,134.2500000000
51.8281250000,133.2500000000
53.2656250000,132.2500000000
51.6093750000,195.2500000000
56.0937500000,131.2500000000
57.5312500000,130.2500000000
58.9062500000,130.2500000000
60.3593750000,129.2500000000
61.7343750000,129.2500000000
59.9218750000,193.2500000000
64.4843750000,129.2500000000
65.8437500000,129.2500000000
67.2187500000,129.2500000000
68.5937500000,129.2500000000
69.9687500000,129.2500000000
68.1562500000,193.2500000000
72.6406250000,130.2500000000
74.0156250000,130.2500000000
75.3906250000,130.2500000000
76.7031250000,131.2500000000
78.0000000000,132.2500000000
79.3750000000,132.2500000000
80.6875000000,133.2500000000
81.9843750000,134.2500000000
83.2812500000,135.2500000000
84.5781250000,136.2500000000
85.8906250000,137.2500000000
87.2031250000,138.2500000000
88.4531250000,140.2500000000
89.7656250000,141.2500000000
91.0781250000,142.2500000000
92.3281250000,144.2500000000
93.6406250000,145.2500000000
94.9062500000,147.2500000000
96.1562500000,149.2500000000
97.4218750000,151.2500000000
98.6875000000,153.2500000000
46.4375000000,137.2500000000
47.8593750000,136.2500000000
49.3125000000,135.2500000000
50.7500000000,134.2500000000
49.1562500000,197.2500000000
53.6250000000,132.2500000000
55.0781250000,131.2500000000
56.4531250000,131.2500000000
57.8750000000,130.2500000000
59.2500000000,130.2500000000
57.5156250000,193.2500000000
62.0625000000,129.2500000000
63.4375000000,129.2500000000
64.8125000000,129.2500000000
66.1875000000,129.2500000000
67.5468750000,129.2500000000
65.7343750000,193.2500000000
70.2968750000,129.2500000000
71.6562500000,129.2500000000
72.9531250000,130.2500000000
74.3281250000,130.2500000000
75.6406250000,131.2500000000
73.8906250000,195.2500000000
78.2968750000,132.2500000000
79.6718750000,132.2500000000
80.9687500000,133.2500000000
82.2656250000,134.2500000000
83.5781250000,135.2500000000
84.8750000000,136.2500000000
86.1718750000,137.2500000000
87.4843750000,138.2500000000
88.7343750000,140.2500000000
90.0312500000,141.2500000000
91.2812500000,143.2500000000
92.5937500000,144.2500000000
93.8437500000,146.2500000000
95.0937500000,148.2500000000
96.4062500000,149.2500000000
97.6250000000,152.2500000000
98.8906250000,154.2500000000
349.1562500000,150.2500000000
155.4062500000,154.2500000000
156.7656250000,154.2500000000
158.1406250000,154.2500000000
159.5625000000,153.2500000000
160.9375000000,153.2500000000
162.2656250000,154.2500000000
164.5625000000,138.5000000000
166.6406250000,128.5000000000
168.1093750000,127.2500000000
169.5625000000,126.2500000000
171.1718750000,123.2500000000
172.6406250000,122.2500000000
174.0937500000,121.2500000000
175.5468750000,120.2500000000
177.1250000000,118.0000000000
178.4843750000,118.2500000000
179.9375000000,117.2500000000
181.5000000000,115.2500000000
182.9687500000,114.2500000000
184.3437500000,114.2500000000
185.8437500000,113.0000000000
187.1875000000,113.2500000000
188.6718750000,112.2500000000
190.0468750000,112.2500000000
191.4218750000,112.2500000000
192.7968750000,112.2500000000
194.1875000000,112.0000000000
195.6406250000,111.2500000000
196.9218750000,112.2500000000
198.2968750000,112.2500000000
199.6718750000,112.2500000000
201.0468750000,112.2500000000
202.4375000000,112.0000000000
203.7968750000,112.2500000000
205.0625000000,113.2500000000
206.3437500000,114.2500000000
207.7187500000,114.2500000000
209.0000000000,115.2500000000
210.3750000000,115.2500000000
211.6562500000,116.2500000000
100.3281250000,156.2500000000
101.6093750000,158.2500000000
102.8437500000,161.2500000000
104.1093750000,163.2500000000
105.3593750000,166.2500000000
106.5937500000,169.2500000000
107.8437500000,172.2500000000
109.1093750000,175.2500000000
110.3281250000,179.2500000000
111.5781250000,182.2500000000
112.8125000000,186.2500000000
114.0468750000,190.2500000000
115.6562500000,183.5000000000
116.6406250000,195.5000000000
117.6093750000,208.5000000000
119.4218750000,194.5000000000
120.8750000000,192.2500000000
122.3437500000,189.2500000000
123.8593750000,185.2500000000
125.3437500000,182.2500000000
126.8125000000,180.2500000000
128.3125000000,177.2500000000
129.7656250000,175.2500000000
131.2656250000,172.2500000000
132.7187500000,170.2500000000
134.1406250000,169.2500000000
135.6250000000,167.2500000000
137.0937500000,165.2500000000
138.5468750000,163.2500000000
139.9687500000,162.2500000000
141.4062500000,161.2500000000
142.8281250000,160.2500000000
144.2500000000,159.2500000000
145.6875000000,158.2500000000
147.1093750000,157.2500000000
148.5312500000,156.2500000000
149.9531250000,155.2500000000
151.3281250000,155.2500000000
152.7031250000,155.2500000000
154.1406250000,154.2500000000
348.9062500000,150.2500000000
212.2968750000,116.2500000000
213.5000000000,118.2500000000
214.6250000000,121.2500000000
215.8593750000,123.0000000000
215.1406250000,0.0000000000
217.0468750000,145.5000000000
218.5156250000,144.2500000000
220.0156250000,142.2500000000
221.4687500000,141.2500000000
222.9687500000,139.2500000000
224.4843750000,137.2500000000
225.9218750000,136.2500000000
227.3906250000,135.2500000000
228.8281250000,134.2500000000
230.2968750000,133.2500000000
231.7343750000,132.2500000000
233.2031250000,131.2500000000
234.6406250000,130.2500000000
236.0312500000,130.2500000000
237.4843750000,129.2500000000
238.8750000000,129.2500000000
240.3281250000,128.2500000000
241.7187500000,128.2500000000
243.0937500000,128.2500000000
244.4843750000,128.2500000000
245.8593750000,128.2500000000
247.2500000000,128.2500000000
245.4062500000,192.2500000000
250.0156250000,128.2500000000
251.3906250000,128.2500000000
252.7031250000,129.2500000000
254.0781250000,129.2500000000
255.4687500000,129.2500000000
256.7656250000,130.2500000000
258.1562500000,130.2500000000
259.4687500000,131.2500000000
260.7812500000,132.2500000000
262.0937500000,133.2500000000
263.4843750000,133.2500000000
261.8125000000,198.2500000000
152.7968750000,218.2500000000
156.5156250000,154.2500000000
157.8906250000,154.2500000000
159.3125000000,153.2500000000
160.6875000000,153.2500000000
162.0000000000,154.2500000000
161.4062500000,204.5000000000
166.3750000000,128.5000000000
167.8437500000,127.2500000000
169.2812500000,126.2500000000
170.8125000000,124.2500000000
172.3593750000,122.2500000000
173.8125000000,121.2500000000
175.2656250000,120.2500000000
176.8125000000,118.2500000000
178.1875000000,118.2500000000
179.6406250000,117.2500000000
181.1093750000,116.2500000000
182.6875000000,114.0000000000
184.0312500000,114.2500000000
185.4062500000,114.2500000000
186.8750000000,113.2500000000
188.2343750000,113.2500000000
189.7187500000,112.2500000000
191.1093750000,112.0000000000
192.4687500000,112.2500000000
193.8437500000,112.2500000000
195.2031250000,112.2500000000
196.5781250000,112.2500000000
197.9531250000,112.2500000000
199.3437500000,112.0000000000
200.6875000000,112.2500000000
202.0625000000,112.2500000000
203.4375000000,112.2500000000
204.8125000000,112.2500000000
205.9687500000,114.2500000000
207.3750000000,114.0000000000
208.6250000000,115.2500000000
210.0000000000,115.2500000000
211.3750000000,115.2500000000
154.5156250000,154.2500000000
155.8750000000,154.2500000000
157.2500000000,154.2500000000
158.6718750000,153.2500000000
160.0468750000,153.2500000000
161.3750000000,154.2500000000
163.2343750000,145.5000000000
165.6718750000,129.5000000000
167.1406250000,128.2500000000
168.6718750000,126.2500000000
170.1250000000,125.2500000000
171.7500000000,122.2500000000
173.2031250000,121.2500000000
174.6562500000,120.2500000000
176.1250000000,119.2500000000
177.5937500000,118.2500000000
179.0468750000,117.2500000000
180.4218750000,117.2500000000
182.0781250000,114.2500000000
183.4531250000,114.2500000000
184.8281250000,114.2500000000
186.2968750000,113.2500000000
187.6718750000,113.2500000000
189.0468750000,113.2500000000
190.5312500000,112.2500000000
191.9062500000,112.2500000000
193.2812500000,112.2500000000
194.6562500000,112.2500000000
196.0468750000,112.0000000000
197.4062500000,112.2500000000
198.7812500000,112.2500000000
200.1562500000,112.2500000000
201.5312500000,112.2500000000
202.9062500000,112.2500000000
204.2968750000,112.0000000000
205.5468750000,113.2500000000
206.8281250000,114.2500000000
208.1093750000,115.2500000000
209.4843750000,115.2500000000
210.8593750000,115.2500000000
348.2656250000,150.2500000000
319.1250000000,153.2500000000
320.5468750000,152.2500000000
321.9687500000,151.2500000000
323.3437500000,151.2500000000
324.7812500000,150.2500000000
326.2031250000,149.2500000000
327.6406250000,148.2500000000
329.0156250000,148.2500000000
330.3750000000,148.2500000000
331.8125000000,147.2500000000
333.1875000000,147.2500000000
334.5625000000,147.2500000000
335.9375000000,147.2500000000
337.2500000000,148.2500000000
338.6250000000,148.2500000000
339.9843750000,148.2500000000
341.3593750000,148.2500000000
342.7343750000,148.2500000000
344.1093750000,148.2500000000
345.4218750000,149.2500000000
346.7968750000,149.2500000000
348.1250000000,150.2500000000
349.4843750000,151.2500000000
154.3906250000,154.2500000000
155.7500000000,154.2500000000
157.1250000000,154.2500000000
158.5000000000,154.2500000000
159.9218750000,153.2500000000
161.2343750000,154.2500000000
162.8750000000,149.2500000000
165.2500000000,133.5000000000
167.0000000000,128.2500000000
168.4531250000,127.2500000000
169.9687500000,125.2500000000
171.5312500000,123.0000000000
172.9687500000,122.2500000000
174.4218750000,121.2500000000
175.9687500000,119.2500000000
177.4218750000,118.2500000000
178.8750000000,117.2500000000
180.2500000000,117.2500000000
181.9062500000,114.2500000000
183.2812500000,114.2500000000
184.6406250000,114.2500000000
186.1093750000,113.2500000000
187.4843750000,113.2500000000
188.9687500000,112.2500000000
190.3437500000,112.2500000000
191.7031250000,112.2500000000
193.0781250000,112.2500000000
194.4531250000,112.2500000000
195.8281250000,112.2500000000
197.2031250000,112.2500000000
198.5625000000,112.2500000000
199.9375000000,112.2500000000
201.3125000000,112.2500000000
202.6875000000,112.2500000000
204.0625000000,112.2500000000
205.3125000000,113.2500000000
206.5937500000,114.2500000000
207.9687500000,114.2500000000
209.3437500000,114.2500000000
210.6250000000,115.2500000000
320.3281250000,152.2500000000
321.7500000000,151.2500000000
323.1406250000,151.2500000000
324.5781250000,150.2500000000
326.0156250000,149.2500000000
327.4687500000,148.2500000000
328.8437500000,148.2500000000
330.2343750000,148.2500000000
331.6718750000,147.2500000000
333.0625000000,147.2500000000
334.4531250000,147.2500000000
333.2656250000,211.2500000000
337.1562500000,148.2500000000
338.5312500000,148.2500000000
339.9218750000,148.2500000000
341.3125000000,148.2500000000
342.6875000000,148.2500000000
341.5468750000,212.2500000000
345.3906250000,149.2500000000
346.7812500000,149.2500000000
348.1250000000,150.2500000000
349.4843750000,151.2500000000
99.4843750000,155.2500000000
100.7500000000,157.2500000000
102.0312500000,159.2500000000
103.2500000000,162.2500000000
104.5312500000,164.2500000000
105.7812500000,167.2500000000
107.0156250000,170.2500000000
108.2656250000,173.2500000000
109.5156250000,176.2500000000
110.7343750000,180.2500000000
112.0000000000,183.2500000000
113.2343750000,187.0000000000
114.4687500000,191.2500000000
116.0156250000,186.2500000000
116.8593750000,202.5000000000
116.7500000000,266.5000000000
119.8906250000,193.5000000000
121.3437500000,191.2500000000
122.8593750000,187.2500000000
124.3437500000,184.2500000000
125.8125000000,181.2500000000
127.2656250000,179.2500000000
128.7500000000,176.2500000000
130.2187500000,174.2500000000
131.6718750000,172.2500000000
133.1250000000,170.2500000000
134.5937500000,168.2500000000
136.0625000000,166.2500000000
137.5156250000,164.2500000000
138.9375000000,163.2500000000
140.3593750000,162.2500000000
141.7968750000,161.2500000000
143.2656250000,159.2500000000
144.6875000000,158.2500000000
146.1093750000,157.2500000000
147.4843750000,157.2500000000
148.9062500000,156.2500000000
150.3281250000,155.2500000000
151.7031250000,155.2500000000
153.0781250000,155.2500000000
100.4218750000,156.0000000000
101.6875000000,158.2500000000
102.9218750000,161.2500000000
104.1875000000,163.2500000000
105.4375000000,166.2500000000
106.6875000000,169.2500000000
107.9531250000,172.0000000000
109.1875000000,175.2500000000
110.4062500000,179.2500000000
111.6562500000,182.2500000000
112.9062500000,186.2500000000
114.1406250000,190.2500000000
115.7500000000,183.7500000000
116.7187500000,195.5000000000
117.6875000000,208.5000000000
119.5156250000,194.5000000000
120.9687500000,192.2500000000
122.4375000000,189.2500000000
123.9687500000,185.0000000000
125.4375000000,182.2500000000
126.9062500000,180.2500000000
128.4062500000,177.2500000000
129.8593750000,175.2500000000
135.6250000000,108.2500000000
132.8125000000,170.2500000000
134.2968750000,168.2500000000
135.7187500000,167.2500000000
137.1875000000,165.2500000000
138.6406250000,163.2500000000
140.0625000000,162.2500000000
141.5156250000,161.2500000000
142.9375000000,160.2500000000
144.3593750000,159.2500000000
145.7812500000,158.2500000000
147.2031250000,157.2500000000
154.1562500000,92.2500000000
150.0625000000,155.2500000000
151.4375000000,155.2500000000
152.8125000000,155.2500000000
154.2500000000,154.2500000000
154.2656250000,154.2500000000
155.6406250000,154.2500000000
157.0156250000,154.2500000000
158.3906250000,154.2500000000
159.8125000000,153.2500000000
161.1562500000,154.2500000000
162.7968750000,149.2500000000
165.2343750000,132.5000000000
166.9218750000,128.2500000000
168.3750000000,127.2500000000
169.9218750000,125.2500000000
171.4843750000,123.0000000000
172.9218750000,122.2500000000
174.3750000000,121.2500000000
175.9218750000,119.2500000000
177.4062500000,118.2500000000
178.8593750000,117.2500000000
180.2656250000,117.0000000000
181.8906250000,114.2500000000
183.2656250000,114.2500000000
184.6562500000,114.2500000000
186.1250000000,113.2500000000
187.5000000000,113.2500000000
188.9062500000,113.0000000000
190.3593750000,112.2500000000
191.7500000000,112.2500000000
193.1250000000,112.2500000000
194.5000000000,112.2500000000
195.9687500000,111.2500000000
197.2656250000,112.0000000000
198.6406250000,112.2500000000
200.0156250000,112.2500000000
201.3906250000,112.2500000000
202.7656250000,112.2500000000
204.1406250000,112.2500000000
205.4218750000,113.2500000000
206.7031250000,114.2500000000
207.9843750000,115.2500000000
209.3593750000,115.2500000000
210.7500000000,115.2500000000
320.8281250000,152.2500000000
322.2500000000,151.2500000000
321.1875000000,215.2500000000
325.0625000000,150.2500000000
326.4843750000,149.2500000000
327.9218750000,148.2500000000
329.2968750000,148.2500000000
330.7500000000,147.2500000000
329.5625000000,211.2500000000
333.5000000000,147.2500000000
334.8750000000,147.2500000000
336.1875000000,148.2500000000
337.5625000000,148.2500000000
338.9531250000,148.2500000000
340.3281250000,148.2500000000
341.7031250000,148.2500000000
343.0781250000,148.2500000000
344.3906250000,149.2500000000
345.7656250000,149.2500000000
347.1093750000,150.2500000000
348.5156250000,150.2500000000
99.8593750000,155.2500000000
101.0937500000,158.2500000000
102.3750000000,160.2500000000
103.6406250000,162.2500000000
104.8906250000,165.2500000000
106.1250000000,168.2500000000
107.3750000000,171.2500000000
108.6406250000,174.2500000000
109.8906250000,177.2500000000
111.1093750000,181.2500000000
112.3750000000,184.2500000000
113.5937500000,188.2500000000
114.7968750000,193.2500000000
116.3281250000,189.2500000000
117.1250000000,207.5000000000
118.8750000000,195.5000000000
120.3125000000,193.2500000000
121.7968750000,190.2500000000
123.3125000000,186.2500000000
124.7968750000,183.2500000000
126.2656250000,181.2500000000
127.7500000000,178.2500000000
129.2656250000,175.0000000000
130.7031250000,173.2500000000
132.1718750000,171.2500000000
133.6250000000,169.2500000000
135.1093750000,167.2500000000
136.5312500000,166.2500000000
138.0000000000,164.0000000000
139.4062500000,163.2500000000
140.8906250000,161.2500000000
142.3125000000,160.2500000000
143.7343750000,159.2500000000
143.8437500000,190.2500000000
146.5937500000,157.2500000000
148.0156250000,156.2500000000
148.0312500000,188.2500000000
150.8125000000,155.2500000000
152.1875000000,155.2500000000
153.6250000000,154.2500000000
100.6250000000,157.2500000000
101.9062500000,159.2500000000
103.1875000000,161.2500000000
